word,origin,mgtow,trp,incels,health,criticism,mra,pua
cocktease,prior,0.089012206,0.13233642,0.1442394,0.08063567,0.21596617,0.080008656,0.21073571
dickpill,ours,-0.12893777,-0.043618016,0.5262805,0.013954807,-0.11116342,-0.10383832,-0.011024438
cope,prior,0.3585745,0.37166283,2.232197,1.8560613,0.82934856,-0.09950162,0.08258611
alt,prior,0.22258821,-0.10073236,0.86009663,-0.5320962,1.0601393,0.36114204,-0.3558409
libtards,prior,0.40750402,-0.057725623,-0.12103533,-0.3411618,0.027166525,0.032616153,-0.14789318
numale,prior,-0.075304225,-0.23914757,1.727264,-0.41044152,0.33505368,-0.42413718,-0.5540213
hoes,prior,1.8062314,1.6610768,0.85706395,-0.4913065,0.5201073,0.101935565,1.0444907
it,prior,-0.39240724,-0.37545085,-0.32260773,-0.13922183,-0.20183903,-0.21862312,-0.15687245
oys,ours,0.04904325,0.80888116,0.04116709,0.10524562,0.45147735,0.049904786,0.24074881
faceandlms,ours,0.104821995,0.021463301,0.56166697,-0.21125852,0.03897979,-0.17128797,0.053308148
wamyn,ours,0.6096746,0.38391256,0.40774873,0.24732931,0.54542625,0.39216557,0.13448541
moneymaxx,ours,-0.092591785,-0.038723458,0.8794871,-0.03964781,-0.06775403,-0.10174442,0.007912358
boyo,prior,0.049412224,-0.13288236,1.9642057,-0.14040373,-0.24538273,-0.4599133,-0.1900105
dickwad,prior,0.041442435,0.02598353,0.187827,0.05556765,0.122023866,0.052914005,0.12913375
hit,prior,1.5011578,1.7150418,1.4512722,1.7528901,1.5215504,1.590553,1.7821321
hick,prior,0.07771489,0.22440286,0.32730877,0.1023303,0.17698935,0.16090427,0.07515454
heartiste,ours,0.063615516,0.56733733,-0.046047606,6.48E-05,0.5243475,0.018353418,0.44407848
shortcels,ours,-0.12235343,-0.11301932,1.0994284,-0.11674996,-0.1396693,-0.19820811,-0.19479644
jackass,prior,0.2895889,0.28787762,0.22658783,-0.043233573,0.36460888,-0.043093264,0.07103513
foids,prior,0.41009948,0.070282735,2.6302896,-0.048697855,0.76655984,0.08526611,0.030197063
jawcels,ours,-0.102507405,-0.036523,0.3996223,-0.016642002,-0.011518224,-0.09464536,-0.06822471
dontcomplain,ours,0.014115003,0.040255897,0.4865033,0.06063577,0.034629017,0.0133396145,0.028714366
pig,prior,0.6673151,0.06906762,0.44861108,-0.24844652,0.32814196,0.449162,-0.14817221
gymaxxing,ours,0.047039803,0.09348369,0.7144232,0.09854419,0.08700066,0.058912586,0.11428337
surgerymaxxed,ours,-0.013193091,-0.0041803606,0.7361078,0.016596466,-0.060280025,-0.051491365,0.000981375
soylo,ours,0.090622425,0.20714763,0.16924572,0.08583346,0.074581124,0.02739475,0.09145145
fgm,prior,0.045224637,0.03890483,-0.023590686,-0.108520135,0.52099645,1.6328918,-0.13053295
escortcel,prior,-0.16155778,-0.25884777,0.8161938,-0.20233642,-0.14385661,-0.3524514,-0.29576814
careermaxx,ours,0.0035677988,0.05114897,0.43556866,0.0696523,0.018182594,-0.0062569464,0.060783554
gorilla,prior,0.15306756,0.35085306,0.396648,-0.16389666,0.15479112,-0.05744552,0.24592015
overthrow,prior,0.18587783,0.0077414773,0.17538302,-0.12852159,0.36188915,0.10042296,-0.1321267
stacey,prior,0.019457454,-0.119370565,1.2219648,-0.47343782,0.3196544,-0.4034223,-0.053853087
mock,prior,0.34442136,0.22195487,1.2948658,0.28802007,1.5997994,0.5731728,0.2660534
poison,prior,0.78999543,0.5214435,0.2258243,0.36808053,0.53289104,0.31517017,0.009671377
normtard,ours,-0.0739109,0.007917344,0.42478424,-0.027338533,0.07902822,-0.005427859,-0.033417646
looksmatched,ours,-0.12537383,-0.10047988,1.2852861,-0.2530551,0.28109035,-0.22754127,-0.036319997
mras,ours,0.56644046,0.027138248,0.102788754,-0.28158033,1.3861808,1.9344369,-0.24530144
snatch,prior,0.4457218,0.31027585,0.046220426,-0.28557855,0.13739847,-0.078862496,0.077728055
zygos,ours,-0.14067253,-0.11267788,0.5349212,-0.06604001,-0.19146484,-0.1473305,-0.113219626
lanklets,ours,-0.05366365,0.07302181,0.6430278,0.03079903,-0.025170986,-0.03821085,0.05319331
bpers,ours,0.091449514,0.16687714,0.12955251,-0.010219589,0.34675962,0.08884124,0.1324192
terpers,ours,0.22159156,0.3632142,0.37268296,0.08592958,1.787016,0.20238894,0.075841576
tradcucks,ours,0.72051984,-0.050559893,-0.026802722,-0.2325941,0.089928955,0.033461407,-0.3186137
mtgow,ours,0.37729746,0.14441167,-0.04967649,-0.03372036,0.20503452,-0.008779522,-0.020730302
fashionmaxxing,ours,0.044418547,0.0937859,0.49274322,0.10966795,0.09443233,0.059247125,0.11148079
bullet,prior,0.9001987,0.63855475,0.35066593,0.4589489,0.26869687,0.21757604,0.35268682
poontang,prior,0.2047016,0.18511759,0.21690607,0.18764691,0.28070667,0.11694359,0.25428224
moneymax,prior,0.023115773,-0.015680242,0.90401787,0.13261098,-0.06720007,-0.08130206,0.06039913
sperg,prior,-0.105405144,0.70193434,0.53822434,-0.2960347,0.56030506,-0.19642358,0.27229878
wristmogged,prior,0.031077512,0.064775944,0.3292978,0.103301674,0.19191398,0.038113978,0.060011595
nt,prior,0.12836479,0.15019801,0.3573303,0.11496702,0.18909316,0.0934986,0.117261074
thot,prior,2.8172708,0.9860022,1.1086335,-0.9049646,1.1856732,0.52090824,-0.09481851
inzel,ours,0.03784479,0.08906639,1.1817434,0.07353406,0.14000775,0.025739899,0.07129019
canthal,ours,0.092517324,0.14352272,1.4107642,0.110421926,0.102053784,-0.025547028,0.03573968
sig,prior,0.19869636,-0.05230608,0.014070571,-0.043584753,-0.053488426,-0.018637989,-0.018763144
pua,prior,0.9336894,1.7481594,0.38606274,-0.8305216,1.0245335,-0.13812539,1.9170182
t,prior,0.0061509535,0.34794897,0.23541448,0.7746909,0.35685462,0.22927992,0.5707418
psl,prior,-0.052509207,0.0610249,1.0614477,-0.056260504,-0.17812183,-0.1974243,0.035729893
cc,prior,1.273537,1.2849381,0.13226831,-0.3800949,0.24848689,-0.18047248,0.2925365
moneymaxxed,ours,0.10527534,0.14448161,0.30743554,0.14535686,0.126905,0.10958545,0.1604814
redpilling,ours,0.50198257,0.07365749,0.08060235,-0.15304099,0.06742317,0.17084745,-0.18095861
voicecel,ours,-0.0019501563,0.016225304,0.5811846,0.05328545,0.09800206,0.0010250681,0.030054389
simp,prior,2.4402895,0.80848235,0.281905,-0.7587304,0.54554814,0.15954576,-0.37225738
mgtows,ours,1.891845,0.57009786,0.38040268,-0.3655903,1.3271638,0.63566726,-0.13864255
betabuxxx,ours,0.08540068,0.084091194,0.44307047,0.08975364,0.058992684,0.04524122,0.120830305
whores,prior,1.8785369,1.0534859,1.4937713,-0.66754204,1.4711273,0.63643515,-0.00076963566
milf,prior,0.2061755,0.19737557,0.13284245,-0.51416165,-0.1394316,-0.2595837,0.3777458
shove,prior,0.3179317,0.47487468,-0.0014639816,-0.2347389,0.13072307,0.35245857,-0.06331132
daygame,ours,-0.013179887,1.0575498,0.16523163,-0.0227497,0.16201779,-0.14963697,1.9896457
trt,prior,0.4140034,1.2818441,0.15784964,-0.091102034,0.09538372,-0.10225982,0.23946969
redpillwomen,prior,0.23509808,0.4283751,0.010960252,-0.20627293,0.48240176,-0.047789615,0.11738548
oneitus,ours,0.13489437,0.9562082,0.14924866,0.026019705,0.41543627,-0.09136763,0.499981
uglycel,ours,-0.14512607,-0.15502499,0.3416773,-0.07590045,-0.031280987,-0.17759717,-0.024157729
trannymax,ours,0.03737734,0.09288699,0.3961368,0.061030798,0.052109927,0.038355272,0.07186179
bb,prior,0.46409872,1.3115922,0.6156801,-0.16831003,0.33199552,-0.20086639,0.4409994
brainlet,ours,0.23058541,0.19068217,1.8230227,0.057054017,0.44542038,-0.0347567,-0.14303257
vocel,ours,-0.10565951,-0.2107719,0.7512455,-0.12522261,0.06363433,-0.11313978,-0.13849524
itcucks,prior,-0.0070426506,-0.02139046,0.5849773,0.024434574,0.25899896,-0.013241517,-0.013143924
bbc,prior,0.5360353,0.0016275533,1.0650011,-0.28213033,0.5835601,1.0426959,-0.32451913
trannymaxx,ours,0.09657235,0.08127233,0.5981801,0.0805965,-0.022837805,0.003164107,0.059343036
trp,prior,2.1396694,3.3164995,1.4960917,0.294492,2.8058355,1.44472,2.5729532
soys,ours,0.26936305,0.12273657,0.45105323,0.06881256,0.15498795,0.13503945,0.059516598
slutty,prior,0.46194714,1.0254614,0.47401577,-0.4014879,0.9202034,0.04098767,0.90216374
normcucks,ours,-0.06247998,-0.037948202,0.4159172,-0.0047595673,-0.020814104,-0.05851707,-0.020434774
khhv,prior,-0.14409666,-0.15168178,1.1986878,-0.057652712,-0.085447505,-0.2987595,-0.049110115
